,0
0,200003
1,200006
2,200007
3,200009
4,200012
5,200014
6,200019
7,200025
8,200030
9,200036
10,200039
11,200041
12,200044
13,200045
14,200052
15,200059
16,200062
17,200065
18,200066
19,200068
20,200071
21,200077
22,200078
23,200085
24,200091
25,200102
26,200103
27,200106
28,200109
29,200112
30,200113
31,200117
32,200119
33,200124
34,200125
35,200130
36,200132
37,200136
38,200137
39,200140
40,200146
41,200147
42,200159
43,200160
44,200161
45,200162
46,200166
47,200168
48,200173
49,200177
50,200179
51,200182
52,200184
53,200185
54,200188
55,200197
56,200199
57,200206
58,200210
59,200220
60,200229
61,200232
62,200237
63,200241
64,200247
65,200249
66,200250
67,200252
68,200257
69,200261
70,200268
71,200270
72,200281
73,200294
74,200297
75,200298
76,200300
77,200301
78,200302
79,200303
80,200307
81,200309
82,200312
83,200318
84,200319
85,200320
86,200321
87,200322
88,200324
89,200328
90,200329
91,200335
92,200337
93,200338
94,200341
95,200342
96,200343
97,200345
98,200355
99,200360
100,200361
101,200364
102,200367
103,200373
104,200374
105,200375
106,200379
107,200381
108,200385
109,200386
110,200387
111,200391
112,200394
113,200398
114,200401
115,200403
116,200406
117,200410
118,200417
119,200419
120,200421
121,200423
122,200426
123,200427
124,200428
125,200429
126,200432
127,200434
128,200438
129,200446
130,200452
131,200456
132,200459
133,200460
134,200467
135,200469
136,200474
137,200475
138,200483
139,200485
140,200488
141,200490
142,200492
143,200494
144,200496
145,200504
146,200511
147,200513
148,200514
149,200517
150,200522
151,200524
152,200532
153,200535
154,200538
155,200539
156,200547
157,200548
158,200557
159,200559
160,200560
161,200561
162,200569
163,200570
164,200584
165,200589
166,200590
167,200597
168,200608
169,200619
170,200620
171,200626
172,200635
173,200637
174,200638
175,200639
176,200641
177,200643
178,200654
179,200656
180,200657
181,200658
182,200660
183,200674
184,200676
185,200677
186,200678
187,200680
188,200681
189,200684
190,200685
191,200705
192,200709
193,200712
194,200713
195,200718
196,200719
197,200726
198,200728
199,200733
200,200738
201,200751
202,200752
203,200753
204,200754
205,200755
206,200757
207,200763
208,200769
209,200771
210,200774
211,200775
212,200777
213,200778
214,200779
215,200781
216,200786
217,200789
218,200792
219,200793
220,200794
221,200795
222,200797
223,200799
224,200803
225,200805
226,200808
