,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__colsample_bylevel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,3.605752150217692,0.1938134739180745,0.006690422693888347,0.0009556845366692564,0.3,0.5,0.0625,3751,4,5,0.5,0.8,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.0625, 'xgb__n_estimators': 3751, 'xgb__min_child_weight': 4, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.5, 'xgb__colsample_bylevel': 0.8}",0.8413500816993463,0.8335886437908496,0.8917840731202343,0.8555742662034768,0.02579951636902664,476
1,2.110001007715861,0.015589735655710875,0.010656515757242838,0.0009272872768179351,1.0,2,0.001953125,1501,8,15,0.03125,0.4,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 2, 'xgb__reg_alpha': 0.001953125, 'xgb__n_estimators': 1501, 'xgb__min_child_weight': 8, 'xgb__max_depth': 15, 'xgb__learning_rate': 0.03125, 'xgb__colsample_bylevel': 0.4}",0.8694852941176471,0.8991013071895425,0.9294551330606474,0.8993472447892791,0.024483201856096808,140
2,1.6993310451507568,0.011610219962564894,0.011003812154134115,4.836757677301705e-06,0.9,0.015625,16,3251,16,4,0.0009765625,0.0,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 0.015625, 'xgb__reg_alpha': 16, 'xgb__n_estimators': 3251, 'xgb__min_child_weight': 16, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.0009765625, 'xgb__colsample_bylevel': 0.0}",0.8538092320261438,0.8839358660130718,0.9006211180124224,0.8794554053505461,0.01937169865567495,372
3,2.401665210723877,0.08019765522627308,0.006333669026692708,0.00047080843601095187,0.1,0.125,0.125,4501,8,10,0.00390625,0.2,"{'xgb__subsample': 0.1, 'xgb__reg_lambda': 0.125, 'xgb__reg_alpha': 0.125, 'xgb__n_estimators': 4501, 'xgb__min_child_weight': 8, 'xgb__max_depth': 10, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 0.2}",0.8045343137254902,0.8551879084967321,0.8740089885370903,0.8445770702531042,0.029338541502248332,499
4,4.339343945185344,0.041892273809476445,0.00566856066385905,0.000472496234683563,0.6,0.5,8,4251,128,9,0.001953125,1.0,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 8, 'xgb__n_estimators': 4251, 'xgb__min_child_weight': 128, 'xgb__max_depth': 9, 'xgb__learning_rate': 0.001953125, 'xgb__colsample_bylevel': 1.0}",0.5,0.5,0.5,0.5,0.0,594
5,4.8993237018585205,0.03702168647883015,0.005995909372965495,0.0008194549883182269,0.8,0.001953125,512,4501,2,5,0.0078125,0.8,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 0.001953125, 'xgb__reg_alpha': 512, 'xgb__n_estimators': 4501, 'xgb__min_child_weight': 2, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 0.8}",0.5,0.5,0.5,0.5,0.0,594
6,1.769020954767863,0.009930745965616937,0.005321502685546875,0.00046755931941646657,0.2,32,0.0009765625,3501,64,7,0.5,0.1,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 32, 'xgb__reg_alpha': 0.0009765625, 'xgb__n_estimators': 3501, 'xgb__min_child_weight': 64, 'xgb__max_depth': 7, 'xgb__learning_rate': 0.5, 'xgb__colsample_bylevel': 0.1}",0.5,0.5,0.5,0.5,0.0,594
7,0.5013353824615479,0.012522348124295719,0.004664818445841472,0.00046879993804703056,0.2,1,0.0009765625,501,4,6,0.125,0.6,"{'xgb__subsample': 0.2, 'xgb__reg_lambda': 1, 'xgb__reg_alpha': 0.0009765625, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 4, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.125, 'xgb__colsample_bylevel': 0.6}",0.848294526143791,0.8891441993464052,0.9250113619148613,0.8874833624683526,0.03134152737219391,300
8,0.7699957688649496,0.017731104233430935,0.006660858790079753,0.0009358853262806224,0.3,0.0078125,1,1001,2,1,0.0078125,0.4,"{'xgb__subsample': 0.3, 'xgb__reg_lambda': 0.0078125, 'xgb__reg_alpha': 1, 'xgb__n_estimators': 1001, 'xgb__min_child_weight': 2, 'xgb__max_depth': 1, 'xgb__learning_rate': 0.0078125, 'xgb__colsample_bylevel': 0.4}",0.8791360294117647,0.8972630718954248,0.9242034035247185,0.9002008349439693,0.018515577066464516,131
9,0.8456575075785319,0.011097807096358957,0.004666328430175781,0.0004705291181501631,0.6,512,0.00390625,501,4,2,0.00390625,0.7,"{'xgb__subsample': 0.6, 'xgb__reg_lambda': 512, 'xgb__reg_alpha': 0.00390625, 'xgb__n_estimators': 501, 'xgb__min_child_weight': 4, 'xgb__max_depth': 2, 'xgb__learning_rate': 0.00390625, 'xgb__colsample_bylevel': 0.7}",0.855187908496732,0.8659109477124185,0.8897136797454931,0.8702708453182145,0.014428299748069513,433
